epoch,step,test_loss,train_loss,val_loss
0,49,,1.1247873306274414,
0,99,,0.5622884631156921,
0,149,,0.3537922501564026,
0,199,,0.35935717821121216,
0,249,,0.29497280716896057,
0,299,,0.24402375519275665,
0,349,,0.2584501802921295,
0,399,,0.4431680738925934,
0,449,,0.2005319446325302,
0,499,,0.25674277544021606,
0,549,,0.18635380268096924,
0,599,,0.31029391288757324,
0,649,,0.3479461371898651,
0,699,,0.3163500428199768,
0,749,,0.31384143233299255,
0,781,,,0.2543085813522339
1,799,,0.21633881330490112,
1,849,,0.15240785479545593,
1,899,,0.23028984665870667,
1,949,,0.22022606432437897,
1,999,,0.20677447319030762,
1,1049,,0.19599582254886627,
1,1099,,0.2579349875450134,
1,1149,,0.117441825568676,
1,1199,,0.13335047662258148,
1,1249,,0.10968995094299316,
1,1299,,0.05071400851011276,
1,1349,,0.29706788063049316,
1,1399,,0.13187918066978455,
1,1449,,0.3406866192817688,
1,1499,,0.15461598336696625,
1,1549,,0.19057287275791168,
1,1563,,,0.20336797833442688
2,1599,,0.3816165328025818,
2,1649,,0.1461220234632492,
2,1699,,0.1664029210805893,
2,1749,,0.1754145324230194,
2,1799,,0.27164193987846375,
2,1849,,0.2776126265525818,
2,1899,,0.15091097354888916,
2,1949,,0.20347201824188232,
2,1999,,0.11908991634845734,
2,2049,,0.11063335090875626,
2,2099,,0.17153772711753845,
2,2149,,0.12118831276893616,
2,2199,,0.24500912427902222,
2,2249,,0.18802303075790405,
2,2299,,0.23843729496002197,
2,2345,,,0.168243870139122
3,2346,,,0.168243870139122
3,2346,0.15241676568984985,,
