epoch,step,test_loss,train_loss,val_loss
0,49,,0.9417800903320312,
0,99,,0.6411948204040527,
0,149,,0.4553467035293579,
0,199,,0.36959534883499146,
0,249,,0.39948228001594543,
0,299,,0.2565177083015442,
0,349,,0.21396991610527039,
0,399,,0.31890180706977844,
0,449,,0.2846355438232422,
0,499,,0.21131709218025208,
0,549,,0.4895794987678528,
0,599,,0.17815566062927246,
0,649,,0.13092952966690063,
0,699,,0.4110531210899353,
0,749,,0.20123080909252167,
0,781,,,0.26631394028663635
1,799,,0.27791473269462585,
1,849,,0.18361154198646545,
1,899,,0.15975187718868256,
1,949,,0.2210174798965454,
1,999,,0.14507544040679932,
1,1049,,0.15308454632759094,
1,1099,,0.27145493030548096,
1,1149,,0.04779699072241783,
1,1199,,0.13618454337120056,
1,1249,,0.29661521315574646,
1,1299,,0.14784635603427887,
1,1349,,0.3524649143218994,
1,1399,,0.3433336615562439,
1,1449,,0.20424123108386993,
1,1499,,0.22309207916259766,
1,1549,,0.5195077657699585,
1,1563,,,0.20019185543060303
2,1599,,0.08094813674688339,
2,1649,,0.2988683581352234,
2,1699,,0.131844624876976,
2,1749,,0.08775597810745239,
2,1799,,0.30982136726379395,
2,1849,,0.08908621221780777,
2,1899,,0.13876281678676605,
2,1949,,0.0999595895409584,
2,1999,,0.16556072235107422,
2,2049,,0.1900385022163391,
2,2099,,0.09448080509901047,
2,2149,,0.11992643028497696,
2,2199,,0.06769060343503952,
2,2249,,0.08906040340662003,
2,2299,,0.535987913608551,
2,2345,,,0.17521628737449646
3,2346,,,0.17521628737449646
3,2346,0.17022518813610077,,
